LOAN TYPE,QUARTER-END-DATE,QUARTERS,TOTAL ADVANCES,GROSS NPA,GNPA RATIO,PROVISION RATE,PROVISION,NET NPA,NPA RATIO,RECOVERY,NO.OF ACCOUNTS,REPO RATES,CPI,GDP
PERSONAL LOAN,30/06/2019,Q2 FY19,9594533.00 ,1957744.00 ,20.40 ,71.0%,1389998.24 ,567745.76 ,5.92 ,684989.00 ,15 ,5.75%,2.05%,3.87%
PERSONAL LOAN,30/06/2020,Q2 FY20,10428389.00 ,2548514.00 ,24.44 ,68.0%,1732989.52 ,815524.48 ,7.82 ,828456.00 ,18 ,4%,0.71%,-5.78%
PERSONAL LOAN,30/06/2021,Q2 FY21,4743294.00 ,1147315.00 ,24.19 ,68.0%,780174.20 ,367140.80 ,7.74 ,279630.00 ,10 ,4%,1.56%,9.69%
PERSONAL LOAN,30/06/2022,Q2 FY22,8949029.00 ,1455178.00 ,16.26 ,73.0%,1062279.94 ,392898.06 ,4.39 ,576281.00 ,10 ,4.90%,2.60%,6.99%
PERSONAL LOAN,30/06/2023,Q2 FY23,11463614.00 ,3505788.00 ,30.58 ,76.0%,2664398.88 ,841389.12 ,7.34 ,1513764.00 ,15 ,6.50%,1.62%,8.15%
PERSONAL LOAN,30/09/2019,Q3 FY19,8630672.00 ,3661320.00 ,42.42 ,70.0%,2562924.00 ,1098396.00 ,12.73 ,1491070.00 ,13 ,5.40%,2.01%,3.87%
PERSONAL LOAN,30/09/2020,Q3 FY20,6811661.00 ,2315091.00 ,33.99 ,68.0%,1574261.88 ,740829.12 ,10.88 ,1114656.00 ,10 ,4%,2.33%,-5.78%
PERSONAL LOAN,30/09/2021,Q3 FY21,7315291.00 ,1131476.00 ,15.47 ,71.0%,803347.96 ,328128.04 ,4.49 ,629736.00 ,10 ,4%,1.84%,9.69%
PERSONAL LOAN,30/09/2022,Q3 FY22,6638916.00 ,1033561.00 ,15.57 ,71.0%,733828.31 ,299732.69 ,4.51 ,536211.00 ,10 ,5.90%,1.42%,6.99%
PERSONAL LOAN,30/09/2023,Q3 FY23,5212202.00 ,287822.00 ,5.52 ,74.0%,212988.28 ,74833.72 ,1.44 ,123156.00 ,11 ,6.50%,2.73%,8.15%
PERSONAL LOAN,31/12/2019,Q4 FY19,9501281.00 ,1672035.00 ,17.60 ,68.0%,1136983.80 ,535051.20 ,5.63 ,1148592.00 ,18 ,5.15%,2.28%,3.87%
PERSONAL LOAN,31/12/2020,Q4 FY20,8342129.00 ,1034468.00 ,12.40 ,74.4%,769644.19 ,264823.81 ,3.17 ,239017.00 ,14 ,4%,1.72%,-5.78%
PERSONAL LOAN,31/12/2021,Q4 FY21,2082204.00 ,1485497.00 ,71.34 ,71.0%,1054702.87 ,430794.13 ,20.69 ,497206.00 ,9 ,4%,1.86%,9.69%
PERSONAL LOAN,31/12/2022,Q4 FY22,5814329.00 ,1996889.00 ,34.34 ,73.0%,1457728.97 ,539160.03 ,9.27 ,610874.00 ,9 ,6.25%,1.50%,6.99%
PERSONAL LOAN,31/12/2023,Q4 FY23,7537730.00 ,5359491.00 ,71.10 ,75.0%,4019618.25 ,1339872.75 ,17.78 ,2573382.00 ,13 ,6.50%,1.54%,8.15%
SME,31/03/2019,Q1 FY19,16021234.00 ,2422715.00 ,15.12 ,71.0%,1720127.65 ,702587.35 ,4.39 ,760153.00 ,12 ,6%,1.98%,3.87%
SME,31/03/2020,Q1 FY20,19301040.00 ,6309164.00 ,32.69 ,72.0%,4542598.08 ,1766565.92 ,9.15 ,3474259.00 ,15 ,4.40%,0.10%,-5.78%
SME,31/03/2021,Q1 FY21,15280554.00 ,9534273.00 ,62.39 ,72.0%,6864676.56 ,2669596.44 ,17.47 ,3484205.00 ,14 ,4%,-0.39%,9.69%
SME,31/03/2022,Q1 FY22,26143513.00 ,7704642.00 ,29.47 ,72.7%,5601274.73 ,2103367.27 ,8.05 ,2414553.00 ,14 ,4%,0.02%,6.99%
SME,31/03/2023,Q1 FY23,19367018.00 ,7814971.00 ,40.35 ,73.0%,5704928.83 ,2110042.17 ,10.90 ,2570931.00 ,16 ,6.50%,0.37%,8.15%
SME,30/06/2019,Q2 FY19,18370583.00 ,7888355.00 ,42.94 ,71.0%,5600732.05 ,2287622.95 ,12.45 ,3402932.00 ,18 ,5.75%,2.05%,3.87%
SME,30/06/2020,Q2 FY20,16420163.00 ,4253822.00 ,25.91 ,68.0%,2892598.96 ,1361223.04 ,8.29 ,1805357.00 ,16 ,4%,0.71%,-5.78%
SME,30/06/2021,Q2 FY21,24978769.00 ,7468043.00 ,29.90 ,68.0%,5078269.24 ,2389773.76 ,9.57 ,3611344.00 ,14 ,4%,1.56%,9.69%
SME,30/06/2022,Q2 FY22,24401279.00 ,10497755.00 ,43.02 ,73.0%,7663361.15 ,2834393.85 ,11.62 ,5640949.00 ,14 ,4.90%,2.60%,6.99%
SME,30/06/2023,Q2 FY23,9839314.00 ,3697933.00 ,37.58 ,76.0%,2810429.08 ,887503.92 ,9.02 ,1817281.00 ,12 ,6.50%,1.62%,8.15%
SME,30/09/2019,Q3 FY19,14370691.00 ,3212325.00 ,22.35 ,70.0%,2248627.50 ,963697.50 ,6.71 ,1667738.00 ,19 ,5.40%,2.01%,3.87%
SME,30/09/2020,Q3 FY20,17027938.00 ,9230030.00 ,54.21 ,68.0%,6276420.40 ,2953609.60 ,17.35 ,6051431.00 ,17 ,4%,2.33%,-5.78%
SME,30/09/2021,Q3 FY21,11421288.00 ,3076418.00 ,26.94 ,71.0%,2184256.78 ,892161.22 ,7.81 ,1463082.00 ,17 ,4%,1.84%,9.69%
SME,30/09/2022,Q3 FY22,18362346.00 ,7223474.00 ,39.34 ,71.0%,5128666.54 ,2094807.46 ,11.41 ,4068383.00 ,17 ,5.90%,1.42%,6.99%
SME,30/09/2023,Q3 FY23,15041528.00 ,2548681.00 ,16.94 ,74.0%,1886023.94 ,662657.06 ,4.41 ,1361602.00 ,15 ,6.50%,2.73%,8.15%
SME,31/12/2019,Q4 FY19,18204053.00 ,4378901.00 ,24.05 ,68.0%,2977652.68 ,1401248.32 ,7.70 ,1652524.00 ,14 ,5.15%,2.28%,3.87%
SME,31/12/2020,Q4 FY20,18667750.00 ,7163965.00 ,38.38 ,74.4%,5329989.96 ,1833975.04 ,9.82 ,3080495.00 ,16 ,4%,1.72%,-5.78%
SME,31/12/2021,Q4 FY21,19631430.00 ,4431699.00 ,22.57 ,71.0%,3146506.29 ,1285192.71 ,6.55 ,808307.00 ,14 ,4%,1.86%,9.69%
SME,31/12/2022,Q4 FY22,7927958.00 ,1846679.00 ,23.29 ,73.0%,1348075.67 ,498603.33 ,6.29 ,472490.00 ,14 ,6.25%,1.50%,6.99%
SME,31/12/2023,Q4 FY23,13428239.00 ,6399381.00 ,47.66 ,75.0%,4799535.75 ,1599845.25 ,11.91 ,2181475.00 ,15 ,6.50%,1.54%,8.15%
